,Unnamed: 0,month,trip_id,vehicle_id,started_at,ended_at,duration,start_location_name,end_location_name,user_id,trip_ledger_id
1650,1650,May,1690608,4886235,2019-05-27 20:55:00,2019-05-27 21:23:00,0:28:22,"2550 Central Ave NE, Albuquerque, NM 87106, USA","415 Roma Ave NW, Albuquerque, NM 87102, USA",36377369,1563326
1651,1651,May,1690648,9020781,2019-05-27 20:57:00,2019-05-27 21:10:00,0:12:24,"718 Rte 66, Albuquerque, NM 87102, USA","Paseo del Bosque Trail, Albuquerque, NM 87104, USA",36406281,1563051
1652,1652,May,1690651,2151716,2019-05-27 20:57:00,2019-05-27 21:02:00,0:04:49,"2901 Central Ave NE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",35570293,1562880
1653,1653,May,1690658,8381746,2019-05-27 20:58:00,2019-05-27 21:09:00,0:11:12,"718 Rte 66, Albuquerque, NM 87102, USA","Paseo del Bosque Trail, Albuquerque, NM 87104, USA",36406257,1563036
1654,1654,May,1690663,1292599,2019-05-27 20:58:00,2019-05-27 21:05:00,0:06:12,"3201 Central Ave NE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",36403338,1562928
1655,1655,May,1690664,4866532,2019-05-27 20:58:00,2019-05-27 21:05:00,0:06:21,"3201 Central Ave NE, Albuquerque, NM 87106, USA","2550 Central Ave NE, Albuquerque, NM 87106, USA",36403607,1562936
1656,1656,May,1690683,6665361,2019-05-27 20:59:00,2019-05-27 21:05:00,0:05:57,"2210 Central Ave NE, Albuquerque, NM 87106, USA","Central @ Mesa, Albuquerque, NM 87106, USA",36399075,1562943
1657,1657,May,1690702,1258930,2019-05-27 21:00:00,2019-05-27 21:19:00,0:18:44,"407 Central Ave SW, Albuquerque, NM 87102, USA","415 Central Ave NW, Albuquerque, NM 87102, USA",36405949,1563239
1658,1658,May,1690720,3737340,2019-05-27 21:02:00,2019-05-27 21:16:00,0:14:12,"100 Gold Ave SW, Albuquerque, NM 87102, USA","100 Gold Ave SW, Albuquerque, NM 87102, USA",36407215,1563166
1659,1659,May,1690750,8500532,2019-05-27 21:03:00,2019-05-27 21:59:00,0:56:24,"2550 Central Ave NE, Albuquerque, NM 87106, USA","330 Tijeras Ave NW, Albuquerque, NM 87102, USA",36391921,1564047
1660,1660,May,1690757,9163777,2019-05-27 21:03:00,2019-05-27 21:59:00,0:56:00,"2550 Central Ave NE, Albuquerque, NM 87106, USA","330 Tijeras Ave NW, Albuquerque, NM 87102, USA",35570293,1564042
1661,1661,May,1690761,3936835,2019-05-27 21:03:00,2019-05-27 22:00:00,0:56:41,"2550 Central Ave NE, Albuquerque, NM 87106, USA","330 Tijeras Ave NW, Albuquerque, NM 87102, USA",36392457,1564059
1662,1662,May,1690801,4992437,2019-05-27 21:05:00,2019-05-27 21:32:00,0:27:28,"3216 Silver Ave SE, Albuquerque, NM 87106, USA","3216 Silver Ave SE, Albuquerque, NM 87106, USA",36172546,1563501
1663,1663,May,1690846,2460822,2019-05-27 21:07:00,2019-05-27 21:27:00,0:19:37,"8111 Romero St NW, Albuquerque, NM 87104, USA","2005 N Plaza St NW, Albuquerque, NM 87104, USA",36164629,1563403
1664,1664,May,1690848,9608552,2019-05-27 21:07:00,2019-05-27 21:32:00,0:24:51,"2005 N Plaza St NW, Albuquerque, NM 87104, USA","1800 Mountain Rd NW, Albuquerque, NM 87104, USA",36165145,1563502
1665,1665,May,1690885,3053714,2019-05-27 21:09:00,2019-05-27 21:33:00,0:24:19,"303 Romero St NW, Albuquerque, NM 87104, USA","200 N Plaza St NW, Albuquerque, NM 87104, USA",36115512,1563528
